shapeID,shapeName,flooded_total_dependency_2024,flooded_elderly_dependency_2024,flooded_child_dependency_2024,flooded_rate_below_5_2024,flooded_rate_above_65_2024,flooded_female_pop_2024,flooded_male_pop_2024,flooded_pop_2024,flooded_pop_2024_perc,flooded_child_pop_2024,flooded_active_pop_2024,flooded_elderly_pop_2024,female_pop_2024,male_pop_2024,pop_2024
5055444B36413802235947,Sarail,65.12856777,9.027406786,56.10116171,11.82491649,5.466895734,31520.12404,29050.06832,60570.19239,19.07,20578.25735,36680.62589,3311.309277,165317.3508,152362.3553,317679.706
5055444B53942313768557,Nasirnagar,64.77443968,9.033185213,55.74125517,11.76186664,5.482523718,29843.17809,27642.4865,57485.66457,19.07,19411.95744,34915.79382,3157.913399,156599.2546,144841.6625,301440.9168
5055444B83041215814881,Comilla Sadar Dakshin,57.01896304,9.139475738,47.87948689,9.778537613,5.820619163,28435.61917,25867.27115,54302.89026,11.63,16558.47471,34583.65123,3160.764454,244607.3893,222514.0816,467121.4709
5055444B40412060728075,Baniachong,60.25358988,8.490623593,51.76296649,11.44388093,5.298330848,24577.19165,23663.7656,48240.95727,15.27,15570.81533,30112.81162,2557.330285,161020.7595,154949.8532,315970.6125
5055444B51169249412494,Burichang,57.01896308,9.139475764,47.87948702,9.778537639,5.820619155,19157.49554,17427.16159,36584.65712,12.84,11155.68835,23299.51525,2129.453572,149194.163,135718.7216,284912.8847
5055444B99945132628682,Ajmiriganj,60.21080792,8.510824177,51.69998399,11.41790083,5.312277903,18555.66442,17884.47347,36440.13788,33.47,11769.37024,22729.85653,1940.911115,55414.236,53447.4766,108861.7126
5055444B87015491124884,Brahman Para,57.08660898,9.138540935,47.94806773,9.795607382,5.817668569,18930.16236,17221.99356,36152.15593,22.08,11032.93777,23015.86652,2103.351559,85749.79507,78014.77513,163764.5702
5055444B86934116157766,Debidwar,57.01896308,9.139475748,47.87948698,9.778537632,5.820619162,18713.16266,17022.96169,35736.12434,9.15,10896.94687,22759.11378,2080.06371,204495.1176,186024.8104,390519.928
5055444B46982243115028,Nabinagar,65.07807292,9.021447043,56.05662653,11.81579584,5.464794828,16302.33441,15030.42016,31332.75454,6.63,10636.79079,18984.00119,1711.962509,245853.855,226617.2242,472471.0791
5055444B11792824344189,Rajnagar,52.60621959,7.69548808,44.91073004,9.621141792,5.042760581,15722.39179,15266.30003,30988.69182,13.74,9128.957224,20300.38595,1559.348593,114432.0742,111091.7294,225523.8036
5055444B14183911871917,Brahmanbaria Sadar,65.12856784,9.027406801,56.10116164,11.82491646,5.466895715,15949.6228,14699.74013,30649.36295,6.45,10412.88542,18560.90871,1675.568716,247435.9445,228045.7749,475481.7195
5055444B22432577988520,Manoharganj,57.01504603,9.141499875,47.87354588,9.777238514,5.822074688,16014.09595,14565.69523,30579.79119,13.81,9320.931409,19477.13134,1781.728479,116000.7302,105493.1518,221493.882
5055444B37995463425931,Bijoynagar,65.12856775,9.027406724,56.10116164,11.82491642,5.466895704,15571.27542,14351.04172,29922.31712,13.33,10165.87724,18120.61801,1635.821874,116832.8091,107696.8662,224529.6753
5055444B67374732574136,Maheshkhali,61.79483445,5.717666851,56.07716805,11.55753095,3.53389948,14490.63602,15227.72001,29718.35607,8.96,10300.21289,18367.92636,1050.216844,161644.3848,169866.6289,331511.0142
5055444B61264629124243,Kasba,65.07018521,9.028213518,56.04197259,11.81018429,5.469442216,14930.87222,13759.30324,28690.17546,10.15,9738.814994,17382.03976,1569.320679,147060.3814,135510.0468,282570.4282
5055444B91077345667431,Barura,57.01815215,9.139837722,47.87831397,9.778286691,5.82088317,14751.46254,13418.91722,28170.37978,8.03,8589.554853,17940.96453,1639.860366,183831.3188,167194.5117,351025.8307
5055444B40138424940148,Feni Sadar,51.15993413,9.023186103,42.13674719,8.889504983,5.969298291,13958.10814,12932.14102,26890.24916,5.74,7495.867059,17789.22581,1605.156311,243019.5155,225149.6265,468169.142
5055444B34645993170454,Kulaura,52.59687089,7.698450924,44.89841852,9.618107819,5.044976942,12568.10843,12193.98596,24762.0944,7.44,7287.601245,16225.9292,1248.563872,168845.1686,163784.9131,332630.0817
5055444B57247897751497,Lakhai,60.17513128,8.488531985,51.68659966,11.42163347,5.299389053,12603.39707,12096.44002,24699.83712,17.56,7976.359736,15413.77919,1309.698183,71742.76012,68917.41717,140660.1774
5055444B82170766050132,Barlekha,52.82424605,7.626388427,45.19785652,9.691899835,4.991070389,11730.67081,11423.41935,23154.09011,8.80,6845.443325,15152.32896,1156.317817,133415.6923,129569.3876,262985.08
