fid,shapeName,shapeiso,shapeid,shapegroup,shapetype,total_building_area,total_flooded_building_area,flooded_building_count,total_num_buildings,percentage_flooded,flooded_grid_length,total_grid_length,percentage_grid_flooded,_merge,relative_wealth_index,_merge2,flooded_road_length,total_roads_length,percentage_flooded_roads,_merge3,gdp_ppp,_merge4,flooded_cropland,cropland_not-affected,flooded_builtup,cropland,builtup,_merge5,flooded_total_dependency_2024,flooded_elderly_dependency_2024,flooded_child_dependency_2024,flooded_rate_below_5_2024,flooded_rate_above_65_2024,flooded_female_pop_2024,flooded_male_pop_2024,flooded_pop_2024,flooded_pop_2024_perc,flooded_child_pop_2024,flooded_active_pop_2024,flooded_elderly_pop_2024,female_pop_2024,male_pop_2024,pop_2024,_merge6,_merge7
8,Rajnagar,,5055444B11792824344189,BGD,ADM3,4538648,29911.395,506,57123,0.88599998,24700,84060,29.4,Matched (3),0.05528034,Matched (3),30240,335660,9.0100002,Matched (3),298514080,Matched (3),266412.31,217247.16,594.03979,483659.47,106675.5,Matched (3),52.60622,7.695488,44.910728,9.6211414,5.0427604,15722.392,15266.3,30988.691,13.74,9128.957,20300.387,1559.3486,114432.07,111091.73,225523.8,Matched (3),Matched (3)
49,Brahmanbaria Sadar,,5055444B14183911871917,BGD,ADM3,9068236,17557.242,523,157237,0.333,18520,93420,19.799999,Matched (3),0.135734782,Matched (3),18540,369240,5.02,Matched (3),977847872,Matched (3),170483.3,168994.08,1780.5942,339477.38,167314.53,Matched (3),65.128571,9.0274067,56.101162,11.824917,5.4668956,15949.623,14699.74,30649.363,6.45,10412.886,18560.908,1675.5687,247435.94,228045.78,475481.72,Matched (3),Matched (3)
16,Manoharganj,,5055444B22432577988520,BGD,ADM3,4030222,8051.3765,246,73226,0.336,2680,18160,14.8,Matched (3),0.150168616,Matched (3),3000,334160,0.89999998,Matched (3),188383904,Matched (3),93710.273,169540.76,235.22182,263251.03,59721.32,Matched (3),57.015045,9.1414995,47.873547,9.7772388,5.8220749,16014.096,14565.695,30579.791,13.81,9320.9316,19477.131,1781.7285,116000.73,105493.15,221493.88,Matched (3),Matched (3)
73,Bijoynagar,,5055444B37995463425931,BGD,ADM3,4356176.5,24611.779,723,83967,0.861,18020,54820,32.900002,Matched (3),0.030686339,Matched (3),4840,111820,4.3299999,Matched (3),461260896,Matched (3),219732.75,148853.28,3492.3674,368586.03,134453.98,Matched (3),65.128571,9.0274067,56.101162,11.824917,5.4668956,15571.275,14351.042,29922.316,13.33,10165.877,18120.617,1635.8219,116832.81,107696.87,224529.67,Matched (3),Matched (3)
37,Maheshkhali,,5055444B67374732574136,BGD,ADM3,6127491,540626.69,5931,70966,8.3579998,3280,31260,10.5,Matched (3),0.143932202,Matched (3),18700,187500,9.9700003,Matched (3),1173314048,Matched (3),48413.938,82265.44,759,130679.38,120374.82,Matched (3),61.794834,5.7176666,56.077168,11.557531,3.5338995,14490.636,15227.72,29718.355,8.96,10300.213,18367.926,1050.2168,161644.39,169866.63,331511,Matched (3),Matched (3)
22,Kasba,,5055444B61264629124243,BGD,ADM3,6015866,12485.187,409,116050,0.352,11080,61860,17.9,Matched (3),0.241717623,Matched (3),6620,190520,3.47,Matched (3),860947072,Matched (3),121128.81,225482.69,520.45032,346611.5,150493.59,Matched (3),65.070183,9.0282135,56.041973,11.810184,5.4694424,14930.872,13759.304,28690.176,10.15,9738.8154,17382.039,1569.3207,147060.38,135510.05,282570.44,Matched (3),Matched (3)
66,Barura,,5055444B91077345667431,BGD,ADM3,8681850,5693.439,241,175197,0.138,3480,43700,8,Matched (3),0.218447535,Matched (3),2100,396520,0.52999997,Matched (3),840137728,Matched (3),65855.227,220174.49,636,286029.72,218302,Matched (3),57.01815,9.1398373,47.878315,9.7782869,5.8208833,14751.463,13418.917,28170.379,8.03,8589.5547,17940.965,1639.8604,183831.31,167194.52,351025.84,Matched (3),Matched (3)
54,Feni Sadar,,5055444B40138424940148,BGD,ADM3,10897628,21068.162,381,132544,0.287,8480,56240,15.1,Matched (3),0.123252861,Matched (3),9280,443360,2.0899999,Matched (3),1180308096,Matched (3),114645.41,91247.09,3278.0728,205892.5,195658.08,Matched (3),51.159935,9.0231857,42.136745,8.8895054,5.9692984,13958.108,12932.141,26890.25,5.74,7495.8672,17789.227,1605.1564,243019.52,225149.63,468169.16,Matched (3),Matched (3)
10,Kulaura,,5055444B34645993170454,BGD,ADM3,7299894.5,30453.975,360,96270,0.37400001,17660,93320,18.9,Matched (3),-0.022245963,Matched (3),6180,261360,2.3599999,Matched (3),617612352,Matched (3),187283.7,339464.49,1522.6985,526748.19,185387.19,Matched (3),52.59687,7.698451,44.898418,9.6181078,5.0449767,12568.108,12193.986,24762.094,7.44,7287.6011,16225.93,1248.5638,168845.17,163784.91,332630.09,Matched (3),Matched (3)
41,Lakhai,,5055444B57247897751497,BGD,ADM3,1633196.3,19054.221,509,30426,1.673,13300,39900,33.299999,Matched (3),-0.232459315,Matched (3),12380,62340,19.860001,Matched (3),197063440,Matched (3),224145.42,159944.11,1519.0603,384089.53,43827.977,Matched (3),60.175133,8.4885321,51.6866,11.421634,5.2993889,12603.397,12096.44,24699.838,17.56,7976.3599,15413.779,1309.6982,71742.758,68917.414,140660.17,Matched (3),Matched (3)
