Upazila,Affected Population (count),Affected population (%),Affected female population (count),Affected male population (count),Affected children below 5 population (%),Affected people above 65 population (%),Affected child population (count),Affected adult population (count),Affected elderly population (count),Affected total dependency (%),Affected elderly dependency (%),Affected child dependency (%)
Nabiganj,22925.705,7.65,11660.735,11264.971,11.40,5.26,7372.8081,14346.09,1206.808,60.091419,8.428236,51.663181
Daudkandi,19208.951,6.19,10057.717,9151.2344,9.77,5.82,5854.6919,12235.977,1118.2823,56.990734,9.1401939,47.85054
Muradnagar,19033.057,3.94,9966.5635,9066.4941,9.78,5.82,5804.4141,12120.873,1107.7706,57.024113,9.1394043,47.884708
Pekua,17425.182,9.83,8496.499,8928.6836,11.56,3.53,6039.4688,10769.925,615.78845,61.794834,5.7176666,56.077168
Sonagazi,16965.693,6.64,8810.6016,8155.0918,9.01,5.94,4760.9077,11195.362,1009.4228,51.869022,9.0106878,42.858334
Chauddagram,14935.692,3.99,7821.0508,7114.6421,9.78,5.82,4554.3115,9512.0313,869.34979,57.018963,9.1394758,47.879486
Daganbhuiyan,14689.778,6.51,7625.6392,7064.1396,8.89,5.97,4097.8315,9715.2383,876.70807,51.182289,9.0236301,42.158657
Chandina,14211.483,4.16,7441.8198,6769.6636,9.78,5.82,4333.48,9050.8076,827.19635,57.018963,9.1394758,47.879486
Chakaria,14027.933,3.16,6835.3203,7192.6123,11.56,3.53,4852.0034,8680.2822,495.64621,61.743916,5.7155967,56.02832
Comilla Adarsha Sadar,13172.664,2.71,6897.8438,6274.8203,9.78,5.82,4016.7148,8389.2188,766.73065,57.018963,9.1394758,47.879486
Maulvi Bazar Sadar,13129.357,3.76,6667.8359,6461.521,9.81,5.07,3900.9299,8562.5176,665.9093,53.393696,7.783093,45.610603
Nangalkot,12191.405,3.43,6384.0093,5807.396,9.78,5.82,3717.5015,7764.2886,709.6153,57.018963,9.1394758,47.879486
Laksam,11759.843,5.85,6158.0225,5601.8203,9.78,5.82,3585.906,7489.4409,684.49567,57.018963,9.1394758,47.879486
Cox's Bazar Sadar,11241.856,2.43,5481.5161,5760.3403,11.56,3.53,3896.3633,6948.2168,397.27591,61.794834,5.7176666,56.077168
Kutubdia,9237.9678,7.47,4504.4224,4733.5454,11.56,3.53,3201.8269,5709.6802,326.46048,61.794834,5.7176671,56.077168
Banshkhali,8418.2695,2.76,4163.7432,4254.5264,8.43,4.13,2236.1467,5834.2241,347.89874,44.281559,5.9632025,38.318356
Sreemangal,7543.1064,2.25,3829.0884,3714.0178,9.62,5.05,2219.1658,4943.3096,380.63101,52.592228,7.6999221,44.892303
Juri,6982.4917,6.79,3544.5049,3437.9866,9.62,5.05,2054.2339,4575.9155,352.34195,52.592228,7.6999221,44.892303
Mahalchhari,6266.9883,12.30,3036.5459,3230.4424,9.38,4.79,1843.0828,4119.6074,304.29807,51.546036,7.2718086,44.274227
Banchharampur,6131.1841,2.20,3191.9165,2939.2676,11.68,5.49,2063.123,3731.1245,336.93671,64.529205,9.0310555,55.498154
Akhaura,5768.5332,4.76,3001.8872,2766.646,11.82,5.47,1959.8148,3493.3586,315.35971,65.128571,9.0274067,56.101162
Madhabpur,5656.4844,1.73,2894.2231,2762.2612,11.55,5.35,1839.8225,3515.5007,301.16113,61.784588,8.662941,53.121647
Satkania,5451.1206,1.66,2696.7964,2754.3245,8.39,4.14,1440.7205,3784.5869,225.81354,44.034763,5.9666629,38.068104
Habiganj Sadar,5024.959,1.64,2561.8818,2463.0771,11.41,5.29,1619.1219,3139.8062,266.03079,60.040417,8.4728413,51.567577
Chhagalnaiya,4944.2466,3.18,2566.4399,2377.8066,8.89,5.97,1378.2222,3270.887,295.13776,51.15921,9.0231714,42.136036
Ashuganj,4717.9893,2.82,2455.1946,2262.7947,11.82,5.47,1602.9005,2857.1611,257.92755,65.128563,9.0274067,56.101162
Anowara,4635.0752,2.07,2293.0796,2341.9956,8.39,4.14,1225.0411,3218.0251,192.00871,44.034763,5.9666629,38.0681
Teknaf,4561.6548,1.70,2224.2576,2337.3972,11.56,3.53,1581.0436,2819.407,161.2043,61.794834,5.7176671,56.077168
Fatikchhari,4243.6875,1.07,2099.4512,2144.2366,8.39,4.14,1121.5983,2946.2939,175.79543,44.034763,5.9666629,38.068104
Meghna,3940.5579,3.93,2041.0632,1899.4945,9.56,5.51,1171.137,2551.9971,217.42381,54.596764,8.5639496,46.032814
Fulgazi,3831.7534,3.79,1988.9714,1842.782,8.89,5.97,1068.1116,2534.9124,228.72949,51.159206,9.0231714,42.136036
Patenga,3642.5393,1.73,1802.0491,1840.4904,8.39,4.14,962.71588,2528.9307,150.89276,44.034763,5.9666629,38.068104
Titas,3466.116,1.94,1815.0259,1651.0901,9.78,5.82,1056.916,2207.4507,201.7494,57.018963,9.1394758,47.879486
Homna,3287.4272,1.79,1721.0852,1566.342,9.86,5.81,1006.3889,2090.092,190.94626,57.330109,9.1351757,48.194931
Mirsharai,3280.4458,0.94,1650.0551,1630.3906,8.61,4.96,883.12561,2241.0667,156.25343,47.220661,7.3334665,39.887192
Bahubal,3221.7214,1.72,1642.5348,1579.1866,11.41,5.29,1038.0901,2013.0674,170.56401,60.040417,8.4728413,51.567577
Parshuram,2529.9209,3.94,1313.2213,1216.6996,8.89,5.97,705.22229,1673.6797,151.019,51.15921,9.0231714,42.136036
Chandgaon,1890.9596,0.68,935.50177,955.45789,8.39,4.14,499.77686,1312.8495,78.333298,44.034763,5.9666629,38.068104
Rangunia,1889.8605,0.62,934.95795,954.90247,8.39,4.14,499.48636,1312.0863,78.287766,44.034763,5.9666629,38.0681
Bayejid Bostami,1727.5298,0.35,854.64923,872.88055,8.39,4.14,456.58267,1199.3839,71.563194,44.034763,5.9666629,38.0681
Chandanaish,1651.7086,0.74,817.13873,834.56989,8.39,4.14,436.5433,1146.743,68.422287,44.034763,5.9666629,38.0681
Ramgarh,1526.8887,3.35,750.39441,776.49432,9.22,4.69,424.58557,1033.9067,68.3964,50.230888,7.0688219,43.162064
Patiya,1469.3998,0.45,726.94629,742.45349,8.39,4.14,388.35944,1020.1702,60.870117,44.034763,5.9666629,38.0681
Kamalganj,1226.7915,0.63,622.75311,604.03833,9.62,5.05,360.9194,803.96722,61.90485,52.592228,7.6999221,44.892303
Sitakunda,1169.6815,0.26,578.6687,591.01282,8.39,4.14,309.1445,812.08276,48.454243,44.034763,5.9666629,38.0681
